pr,title,action,release_tag,rep_commit,rep_ymd,rep_order,commits,files,insertions,deletions,churn,start_date,end_date,topdirs,subsys,arch
88,misc: Update CI test workflow,测试,v23.1.0.0,424350f446fe5965ca44de68acb4b8cd3441fe6a,2023-07-18,1066,1,3,132,32,164,2023-07-18T10:27:32-07:00,2023-07-18T10:27:32-07:00,.github,.github,
85,misc: Add bug report template,新增/支持,v23.1.0.0,8450b93f8e4a939fba6e075b225c07f112a5a72b,2023-07-18,1067,1,1,62,0,62,2023-07-18T10:27:48-07:00,2023-07-18T10:27:48-07:00,.github,.github,
80,misc: Drop older compilers and Ubuntu 18.04,移除/弃用,v23.1.0.0,65fc9a6bfaf625e2eab3aea82380fcb7a23cd3b8,2023-07-18,1068,1,6,5,167,172,2023-07-18T10:28:09-07:00,2023-07-18T10:28:09-07:00,"util, .github, tests","util, .github, tests",
75,arch-arm: Fix assert fail when UQRSHL shiftAmt==0,修复/纠错,v23.0.1.0,2242196f03c6f73d62077b1437929eadee8e8741,2023-07-18,1971,2,1,6,2,8,2023-07-13T10:57:51-07:00,2023-07-18T21:08:29-07:00,src,arch,arm
79,tests: Improve Pyunit tests gem5 Resources' downloads,测试,v23.0.1.0,189bf66b3e488ec01e003b1813599708307b4ac8,2023-07-18,1972,2,4,38,38,76,2023-07-14T06:31:34-07:00,2023-07-18T21:08:46-07:00,tests,tests,
99,base: Added missing backup dummy __has_builtin definition,其他,v23.1.0.0,4d9bd7dedf3b0615e62095659c93d68c3d6cb680,2023-07-19,1070,1,1,7,0,7,2023-07-19T02:07:39-07:00,2023-07-19T02:07:39-07:00,src,base,
73,base: Unit tests miscellaneous patches,测试,v23.1.0.0,4c4419296b8430d754a96da0eaae731c594f4d06,2023-07-19,1071,1,6,135,138,273,2023-07-19T08:45:29-07:00,2023-07-19T08:45:29-07:00,src,"base, sim",
98,arch-riscv: Set default check alignment True,其他,v23.1.0.0,5d2edca1e36189052739250c25471c285746665b,2023-07-19,1072,1,1,1,1,2,2023-07-19T11:14:27-07:00,2023-07-19T11:14:27-07:00,src,arch,riscv
87,"util: Add ""Improving stability"" sec to github-vagrant-runner",CI,v23.0.1.0,84c4451cebac98a9e17e3ac87da940b308c90a27,2023-07-19,1973,2,1,28,0,28,2023-07-17T10:42:28-07:00,2023-07-19T02:05:46-07:00,util,util,
71,misc: Update README/README.md,文档/示例,v23.0.1.0,b82ae1481bd10c87f98f9d52bfcc8e432ab2a856,2023-07-19,1974,2,4,192,90,282,2023-07-17T15:30:35-07:00,2023-07-19T02:06:14-07:00,"README, README.md, build_tools, src","README, README.md, build_tools, src",
93,python: fix fatal in main.py (github #78),CI,v23.0.1.0,e810f53ebee1d95af3fc0b9725438f88224c8039,2023-07-19,1975,2,1,8,6,14,2023-07-18T14:00:57-07:00,2023-07-19T02:06:38-07:00,src,python,
101,mem-ruby: Added support for non-system-scope atomics in VIPER,新增/支持,v23.1.0.0,1705853b12df627d0e7279ef2acbd01dd1291838,2023-07-20,1074,1,2,103,14,117,2023-07-20T11:48:08-05:00,2023-07-20T11:48:08-05:00,src,mem,
91,stdlib: Change resource compatibility warning,其他,v23.1.0.0,3c6563d6f7cf35f5e801b7a1dc9363619bb55239,2023-07-20,1076,1,2,12,16,28,2023-07-20T12:00:49-07:00,2023-07-20T12:00:49-07:00,"src, tests","python, tests",
102,"stdlib,configs,tests: Remove deprecated Resource classes usage",测试,v23.1.0.0,01623fac68d18fd96eaf981798f75e39d75ea260,2023-07-20,1078,1,25,73,73,146,2023-07-20T23:08:39-07:00,2023-07-20T23:08:39-07:00,"configs, tests, src","configs, tests, python",
77,"base: Ostream helpers (iterable, tuple, pair, enum, pointers, optional)",其他,v23.1.0.0,75b6fa5ad11e93f37a97a9388ddbf2d787457938,2023-07-21,1079,1,3,89,4,93,2023-07-21T11:11:09-07:00,2023-07-21T11:11:09-07:00,src,base,
96,misc: Add workflow to close stale issues,CI,v23.1.0.0,0dd43346226150330ee3e969b338c31e1e6d21c2,2023-07-21,1080,1,1,19,0,19,2023-07-21T12:36:24-07:00,2023-07-21T12:36:24-07:00,.github,.github,
110,"mem-ruby,configs: Add GLC Atomic Latency VIPER Parameter",新增/支持,v23.1.0.0,984499329d5b70c1841c39e545878303b4a5ddd5,2023-07-23,1081,1,6,46,12,58,2023-07-23T15:57:06-05:00,2023-07-23T15:57:06-05:00,"src, configs","mem, configs",
111,misc: Update ci-tests.yaml to always clean runner,测试,v23.1.0.0,9f56bbd7dd934cccea74d88666d4885feb025f16,2023-07-24,1083,1,0,0,0,0,2023-07-24T11:02:18-07:00,2023-07-24T11:02:18-07:00,,,
114,arch-arm: Hook TLBIOS instructions to the TlbiShareable obj,其他,v23.1.0.0,189d514f2fd93230453ba6251646989fa0ee108e,2023-07-25,1085,1,0,0,0,0,2023-07-25T11:57:50+02:00,2023-07-25T11:57:50+02:00,,,
109,base: Add `maybe_unused` to `findLsbSetFallback`,新增/支持,v23.1.0.0,556c9154ddae36ff184a83f7b31ad51cd7083f6a,2023-07-25,1088,1,0,0,0,0,2023-07-25T10:41:59-07:00,2023-07-25T10:41:59-07:00,,,
107,cpu-minor: Check pc valid before printing,其他,v23.1.0.0,7601fcfba60fe06b320230e00b9dcf9ea4064772,2023-07-25,1091,1,0,0,0,0,2023-07-25T17:14:38-07:00,2023-07-25T17:14:38-07:00,,,
126,tests: Deprecate Gerrit/Jenkins testing scripts,测试,v23.1.0.0,c056ef07a58ca7a8de546599684ba7496dd226af,2023-07-26,1093,1,0,0,0,0,2023-07-26T16:24:41-07:00,2023-07-26T16:24:41-07:00,,,
121,misc: Updating TESTING.md,其他,v23.1.0.0,6a503d52cde967edb5c18925d7deeaebb6f34c94,2023-07-26,1099,1,0,0,0,0,2023-07-26T16:24:56-07:00,2023-07-26T16:24:56-07:00,,,
124,mem: Make functional request a response when satisfied by queue,其他,v23.1.0.0,21b4ad609f28487dc65ab7f7d54ba09768642d2e,2023-07-26,1101,1,0,0,0,0,2023-07-26T17:03:16-07:00,2023-07-26T17:03:16-07:00,,,
105,misc: Split up tests in daily-tests.yaml,测试,v23.1.0.0,5888ea68a36e508516579879b6c9de96a6f81230,2023-07-26,1105,1,0,0,0,0,2023-07-26T21:04:18-07:00,2023-07-26T21:04:18-07:00,,,
104,scons: Add extra parent dir to CPPPATH if --no-duplicate-sources,新增/支持,v23.0.1.0,919dd5efbd67ee27579014c9a4e0f67d47eb9c1f,2023-07-26,1977,2,1,16,0,16,2023-07-20T09:35:45-07:00,2023-07-26T12:31:15-07:00,src,src,
95,cpu-kvm: Make using perf when using KVM CPU optional,其他,v23.0.1.0,41abc6ab77b6dc24f0156aa0a9cab2d4eb1ab90e,2023-07-26,1978,2,5,442,58,500,2023-07-20T10:34:44-07:00,2023-07-26T12:31:47-07:00,"src, configs","cpu, configs",
72,mem-garnet: Fix packet_id val in flit,修复/纠错,v23.0.1.0,7665c338e268736c0636400b1d3d13f169a0a61e,2023-07-26,1980,2,1,2,2,4,2023-07-20T13:56:31-07:00,2023-07-26T12:32:33-07:00,src,mem,
133,cpu: Set SLC bit for GPU tester,其他,v23.1.0.0,ea18c2f417dc0115e88087aa6200f52f1a976a49,2023-07-27,1107,1,0,0,0,0,2023-07-27T07:37:52-07:00,2023-07-27T07:37:52-07:00,,,
135,learning-gem5: Add a missing override,文档/示例,v23.1.0.0,5aa955212f1d6cc09c26dcd71e315e1d7e4d1c03,2023-07-27,1109,1,0,0,0,0,2023-07-27T09:37:52-07:00,2023-07-27T09:37:52-07:00,,,
136,misc: Add missing dependency to daily tests,测试,v23.1.0.0,42b65cad68f1d2ddb21534807134dadc7599f11c,2023-07-27,1111,1,0,0,0,0,2023-07-27T09:38:23-07:00,2023-07-27T09:38:23-07:00,,,
134,util: Ignore line length check for #include pragma in C/C++ files,其他,v23.1.0.0,65b99fffc93e3a7bddfffb4d3607e91c5a065779,2023-07-27,1114,1,0,0,0,0,2023-07-27T09:39:18-07:00,2023-07-27T09:39:18-07:00,,,
122,misc: Merge develop .github into stable,CI,v23.0.1.0,48b4788bbe7a091b917aed51236bca2b0456cf37,2023-07-27,1949,1,0,0,0,0,2023-07-27T17:38:14-07:00,2023-07-27T17:38:14-07:00,,,
139,misc: Merge stable into minor-release-staging-v23-0-1-0,其他,v23.0.1.0,1be9501ecdcab0739881b92b746ed25cf4cc232e,2023-07-27,1981,1,0,0,0,0,2023-07-27T17:39:39-07:00,2023-07-27T17:39:39-07:00,,,
125,misc: Update version to v23.0.1.0,更新/依赖,v23.0.1.0,010baba2a7003b6523d3fc8cef37102e47118ceb,2023-07-27,1990,1,0,0,0,0,2023-07-27T17:42:18-07:00,2023-07-27T17:42:18-07:00,,,
130,misc: Sync CONTRIBUTING.md with website,其他,v23.1.0.0,31230025e9d4d0676a93605902f4115a639e12a4,2023-07-28,1116,1,0,0,0,0,2023-07-28T09:42:28-07:00,2023-07-28T09:42:28-07:00,,,
113,arch-x86: Move CPUID values to python,重命名/迁移,v23.1.0.0,6b020ed03308ddaf1208fcfbde46fc434d41e111,2023-07-28,1122,1,0,0,0,0,2023-07-28T14:52:13-07:00,2023-07-28T14:52:13-07:00,,,
140,"gpu-compute: ""<random>"" -> ""base/random.hh"" in testers/gpu...",其他,v23.1.0.0,81cc57b828fc74198719782c86da5c9a10c22784,2023-07-28,1125,2,1,9,0,9,2023-07-28T12:55:18-07:00,2023-07-28T16:54:24-07:00,src,cpu,
128,misc: Update RELEASE-NOTES.md for v23.0.1.0,更新/依赖,v23.0.1.0,4e8df826f6bbd5da7cc0a55ae10ac253cf9cf471,2023-07-28,1998,1,0,0,0,0,2023-07-28T00:23:08-07:00,2023-07-28T00:23:08-07:00,,,
103,misc: Merge cherry-picked commits from develop,其他,v23.0.1.0,1b67297efcc688643e56841344db27baa194bed0,2023-07-28,2000,1,0,0,0,0,2023-07-28T09:49:34-07:00,2023-07-28T09:49:34-07:00,,,
142,arch-vega: Fix vop2Helper scalar support,新增/支持,v23.1.0.0,b35c2ba8c5d7b16750aae470b7183c35c4094354,2023-07-30,1127,1,0,0,0,0,2023-07-30T10:47:36-07:00,2023-07-30T10:47:36-07:00,,,
129,"arch-vega, dev-amdgpu: Fix for memory leaks",修复/纠错,v23.1.0.0,618b2a60dee4badc1f92c35b5f556b4cac86cbbe,2023-07-30,1129,1,0,0,0,0,2023-07-30T10:48:17-07:00,2023-07-30T10:48:17-07:00,,,
143,mem: Minor typo fix in packet.hh,修复/纠错,v23.1.0.0,4ee6dbc330fdd46ea040b1595c2e9d2f54a65497,2023-07-31,1131,1,0,0,0,0,2023-07-31T10:01:50-07:00,2023-07-31T10:01:50-07:00,,,
141,dev-amdgpu: Support for ROCm 5.4+ and MI200,新增/支持,v23.1.0.0,dceabe5fda598937b00959cc648fb7f2fbbe950a,2023-07-31,1135,1,0,0,0,0,2023-07-31T10:24:46-07:00,2023-07-31T10:24:46-07:00,,,
150,"stdlib,resources: Enable loading of local Resources data via JSON file path",新增/支持,v23.1.0.0,fbcf50befd98ea5931a5812424ac6f08833da7e8,2023-08-02,1138,1,0,0,0,0,2023-08-02T15:49:47-07:00,2023-08-02T15:49:47-07:00,,,
83,arch-riscv: Relation chain on RVV support,新增/支持,v23.1.0.0,5eda9fe2ca8dd825223b7c79766aedcaad722cc9,2023-08-03,1147,2,4,4,4,8,2023-08-03T07:31:08-07:00,2024-02-02T18:11:47+00:00,src,arch,"mips, power, sparc, x86"
153,"stdlib, resources: Fixed keyerror: 'is_zipped' bug",修复/纠错,v23.1.0.0,2bef8efb94fafe058b6bbc44fd61f063c0172155,2023-08-03,1149,1,0,0,0,0,2023-08-03T16:01:07-07:00,2023-08-03T16:01:07-07:00,,,
149,"stdlib, resources: fixed style issue in isa.hh",其他,v23.1.0.0,0ff485f7d02c2c0dcc10d020650b583e843ba5ea,2023-08-03,1153,1,0,0,0,0,2023-08-03T16:52:52-07:00,2023-08-03T16:52:52-07:00,,,
152,tests: download_check.py to rm each resource after check,测试,v23.1.0.0,6e39f2097d6f9a404668a0b89d6cc6b2108562b8,2023-08-03,1155,1,0,0,0,0,2023-08-03T17:28:58-07:00,2023-08-03T17:28:58-07:00,,,
115,util: fix cpt upgrader for rvv changes in PR #83,修复/纠错,v23.1.0.0,ed44df5d0252c1b40a4e24c70ca86fad2ed09b0b,2023-08-04,1157,1,0,0,0,0,2023-08-04T11:35:28-07:00,2023-08-04T11:35:28-07:00,,,
137,arch-riscv: Implemented zicbom/zicboz extensions for RISC V,其他,v23.1.0.0,7a9f7f51ae610a6b5873da6812b3e08f807dc60e,2023-08-04,1159,1,0,0,0,0,2023-08-04T11:39:34-07:00,2023-08-04T11:39:34-07:00,,,
158,misc: Fix daily tests,测试,v23.1.0.0,3d39bc160cbbba8d54eb38df654145e4b679ccec,2023-08-04,1161,1,0,0,0,0,2023-08-04T14:38:12-07:00,2023-08-04T14:38:12-07:00,,,
156,tests: Refactor test configs,测试,v23.1.0.0,4114114beda2996817f3f0cfc353b505ed308a4b,2023-08-07,1170,1,0,0,0,0,2023-08-07T11:18:18-07:00,2023-08-07T11:18:18-07:00,,,
160,misc: Refactor weekly-tests.yaml,测试,v23.1.0.0,5200d9ca3dec47226093714aee75b4fafae1e099,2023-08-07,1172,1,0,0,0,0,2023-08-07T14:39:21-07:00,2023-08-07T14:39:21-07:00,,,
164,tests: Temporarily cease using PARSEC disk image in tests,测试,v23.1.0.0,faed0d3f6d4da8693347a0f9add1ef7a5adafe58,2023-08-08,1176,1,0,0,0,0,2023-08-08T00:24:25-07:00,2023-08-08T00:24:25-07:00,,,
163,misc: Update where runners are cleaned in workflow files,CI,v23.1.0.0,572c6bc1bb6ee220a3bb4c2a7928011011f966ec,2023-08-08,1178,1,0,0,0,0,2023-08-08T12:42:24-07:00,2023-08-08T12:42:24-07:00,,,
170,arch-riscv: Add checking CSR condition for RVV instructions,新增/支持,v23.1.0.0,4cac85cb80476eed890826953b7f551ef0f47de7,2023-08-09,1183,1,0,0,0,0,2023-08-09T13:47:56-07:00,2023-08-09T13:47:56-07:00,,,
168,misc: Merge develop .github into stable,CI,v23.0.1.0,c8239cca6d5a67c0e59fecccc5d4b78d42e97209,2023-08-09,1951,1,0,0,0,0,2023-08-09T13:48:14-07:00,2023-08-09T13:48:14-07:00,,,
169,cpu: Fix segment fault when using debug flags Branch,修复/纠错,v23.1.0.0,b88e60ff2818753f73c9bf43bcf3c33050d15bcc,2023-08-10,1187,1,0,0,0,0,2023-08-10T08:33:48-07:00,2023-08-10T08:33:48-07:00,,,
172,cpu-o3: bugfix of rename squash when SMT,重命名/迁移,v23.1.0.0,77e63b6a6c44b25b6237f0c93ae43c00dd85ed4a,2023-08-10,1189,1,0,0,0,0,2023-08-10T15:29:51-07:00,2023-08-10T15:29:51-07:00,,,
155,misc: Update MAINTAINERS.yaml,更新/依赖,v23.1.0.0,cfea9afae3d0bffa6853d5bf04f1a84b1b5c60f2,2023-08-11,1196,1,0,0,0,0,2023-08-11T02:05:26-07:00,2023-08-11T02:05:26-07:00,,,
173,tests: Move replacement policy and simulator config files,测试,v23.1.0.0,fa918f61d19075d916df019e79a176eac6809ea3,2023-08-11,1198,1,0,0,0,0,2023-08-11T07:39:06-07:00,2023-08-11T07:39:06-07:00,,,
175,misc: Add continue-on-error to matrix runs,新增/支持,v23.1.0.0,41dcd3c5d5e1aa85584d6951c273ea70f484a050,2023-08-11,1200,1,0,0,0,0,2023-08-11T07:39:25-07:00,2023-08-11T07:39:25-07:00,,,
174,misc: Minor release v23.0.1.0,其他,v23.0.1.0,6835f0665744bba3d56921c9406ee97e841b60a0,2023-08-11,2001,1,0,0,0,0,2023-08-11T02:08:41-07:00,2023-08-11T02:08:41-07:00,,,
179,misc: Sync GitHub Workflow files from develop to stable,CI,v23.1.0.0,f29bfc0640c88a79eb7f94454ce31b3237ec0066,2023-08-14,2003,1,0,0,0,0,2023-08-14T11:18:14-07:00,2023-08-14T11:18:14-07:00,,,
185,mem: Fixing memory size type issue in port proxy.,其他,v23.1.0.0,954328fa28831e40294727099cc870ea0479a423,2023-08-15,1202,1,0,0,0,0,2023-08-15T21:43:42-07:00,2023-08-15T21:43:42-07:00,,,
180,mem: Port trace in xbar when address error,其他,v23.1.0.0,9ee400ff9260ba7431592d15993b2eb9bfdc8943,2023-08-15,1206,1,0,0,0,0,2023-08-15T23:27:17-07:00,2023-08-15T23:27:17-07:00,,,
183,fastmodel: Add option to retry licence server connection.,新增/支持,v23.1.0.0,f6d44ac7b3e7def977f99ab542cd10118d3b6876,2023-08-16,1208,1,0,0,0,0,2023-08-16T10:08:59+01:00,2023-08-16T10:08:59+01:00,,,
184,gpu-compute: Change kernel-based exit location,其他,v23.1.0.0,bc9bbc10f030546ab3c07dd2199aa147790e4bba,2023-08-16,1210,1,0,0,0,0,2023-08-16T07:38:12-07:00,2023-08-16T07:38:12-07:00,,,
190,util-docker: Fix clang-version-8 docker container,更新/依赖,v23.1.0.0,f6b116d8a0d295d0221bd52842c6bac06901f178,2023-08-16,1212,1,0,0,0,0,2023-08-16T12:52:25-07:00,2023-08-16T12:52:25-07:00,,,
189,"arch-x86,cpu-kvm: Fix gem5.fast due to unused variable",修复/纠错,v23.1.0.0,3ff6fe0e90aa943dacf11e11b93a5106bceeb281,2023-08-16,1214,1,0,0,0,0,2023-08-16T12:52:44-07:00,2023-08-16T12:52:44-07:00,,,
187,arch-riscv: Check CSR before executing VMem instructions,其他,v23.1.0.0,fe43e4a3e3f5cb9f3fabb33b541e182312731815,2023-08-17,1217,1,0,0,0,0,2023-08-17T11:20:21-07:00,2023-08-17T11:20:21-07:00,,,
166,Fix reporting traps (faults) to GDB in SE mode,修复/纠错,v23.1.0.0,22c52f4fbabc59fc1003c1deedb06c0249d2b6ef,2023-08-17,1221,1,0,0,0,0,2023-08-17T16:08:49-07:00,2023-08-17T16:08:49-07:00,,,
195,stdlib: Allow passing of func as Exit Event generator,其他,v23.1.0.0,30ab2c19b1f538cd6fa10acc2b6b6d53d4d39162,2023-08-18,1223,1,0,0,0,0,2023-08-18T10:55:50-07:00,2023-08-18T10:55:50-07:00,,,
194,misc: Update matrix runs in scheduled tests,测试,v23.1.0.0,ac88871017200c963926395c2ec1a1f2580bf73a,2023-08-18,1225,1,0,0,0,0,2023-08-18T10:56:26-07:00,2023-08-18T10:56:26-07:00,,,
167,tests: Add checkpoint tests for all ISAs,测试,v23.1.0.0,d7d441becb30bd6cdffa01404fbc9a70ec4a32ca,2023-08-18,1230,1,0,0,0,0,2023-08-18T15:01:39-07:00,2023-08-18T15:01:39-07:00,,,
202,ext: Update DRAMSys README,文档/示例,v23.1.0.0,e5fcc116ec697ffc9f08357f958227d071760568,2023-08-20,1232,1,0,0,0,0,2023-08-20T20:13:17-07:00,2023-08-20T20:13:17-07:00,,,
196,"arch-riscv,systemc: Update cxx_config_cc.py to use is port.is_source",更新/依赖,v23.1.0.0,f98cd15ec765bf281fb66bc5642cc288fa9fd915,2023-08-20,1234,1,0,0,0,0,2023-08-20T21:00:33-07:00,2023-08-20T21:00:33-07:00,,,
205,mem-cache: Allow clflush's uncacheable requests on classic cache,其他,v23.1.0.0,63b91b51a266e3a8e6c7cdc3e2887c95cf2d1bf3,2023-08-21,1239,2,1,15,10,25,2023-08-21T10:42:10-07:00,2023-09-08T18:16:10+00:00,src,mem/cache,
198,misc: Add DRAMSys tests to our weekly tests,测试,v23.1.0.0,f9a4a794b7312711c101f48e3a9c7bd1584b1ce2,2023-08-21,1241,1,0,0,0,0,2023-08-21T17:31:36-07:00,2023-08-21T17:31:36-07:00,,,
203,base: Make 'findLsbSetFallback' constexpr to fix gcc-8 comp,修复/纠错,v23.1.0.0,e3414c709878b53e59d23d446dd276962ea23ab7,2023-08-22,1243,1,0,0,0,0,2023-08-22T11:23:59-07:00,2023-08-22T11:23:59-07:00,,,
206,tests: Update asmtest script and add more test binaries,测试,v23.1.0.0,c218104f5227bc31f36dbba632b253cc6d95acdd,2023-08-22,1247,1,0,0,0,0,2023-08-22T13:59:56-07:00,2023-08-22T13:59:56-07:00,,,
209,ext: Specialize GDBSignal MACRO to gem5,其他,v23.1.0.0,2d9ad02ae7ae1c5da24c7af2121e0ce218894c87,2023-08-24,1249,1,0,0,0,0,2023-08-24T02:44:56-07:00,2023-08-24T02:44:56-07:00,,,
223,"gpu-compute,arch-vega: Fix ALU-only LDS counters",修复/纠错,v23.1.0.0,9fd846f48dcd2e14ae8c09f5defc44472a2ce400,2023-08-24,1251,1,0,0,0,0,2023-08-24T07:12:56-07:00,2023-08-24T07:12:56-07:00,,,
217,mem-ruby: fix CHI Evict race condition,修复/纠错,v23.1.0.0,e77666d9e81c17765ea5ea4d330c438d51afb2c1,2023-08-24,1253,1,0,0,0,0,2023-08-24T10:04:28-07:00,2023-08-24T10:04:28-07:00,,,
210,sim: provide a signal constructor with an init_state,其他,v23.1.0.0,56a8ab3f3c4f98ba07c138af1c81f5955ccbd496,2023-08-24,1256,1,0,0,0,0,2023-08-24T18:06:21+01:00,2023-08-24T18:06:21+01:00,,,
225,cpu-minor: Separate the reg_index of VecClassReg and VecElemReg,其他,v23.1.0.0,7aa896fe8fa95bb70d05def65dc972b67e23e480,2023-08-24,1258,1,0,0,0,0,2023-08-24T10:13:21-07:00,2023-08-24T10:13:21-07:00,,,
186,"tests, gpu-compute: Updating weekly.sh to use mmapped version of FW",测试,v23.1.0.0,cf997c93a555c309fb6f0d8086596bc7d7ff4091,2023-08-24,1260,1,0,0,0,0,2023-08-24T10:16:25-07:00,2023-08-24T10:16:25-07:00,,,
224,dev-amdgpu: Tell OS about PCIe atomic support,新增/支持,v23.1.0.0,fcbed2bd8a2898d3b1eaf17c18242275ac93fcdf,2023-08-24,1263,1,0,0,0,0,2023-08-24T11:19:30-07:00,2023-08-24T11:19:30-07:00,,,
222,misc: Move compiler tests to run on 'build' runners,测试,v23.1.0.0,5cb604559afff3a4f70b7dcbd5954b552b4e32cf,2023-08-25,1265,1,0,0,0,0,2023-08-25T03:24:03-07:00,2023-08-25T03:24:03-07:00,,,
230,gpu-compute: Use timing DMAs for GPUFS HSA signals,其他,v23.1.0.0,a9b32cdb3a4f6daf33bab26937f888f480547bc1,2023-08-26,1267,1,0,0,0,0,2023-08-26T11:38:37-07:00,2023-08-26T11:38:37-07:00,,,
231,gpu-compute: Flat scratch implementation and bug fixes,修复/纠错,v23.1.0.0,82ffc16e6ec3ea84294bbd8398f54b09da63f456,2023-08-27,1271,1,0,0,0,0,2023-08-27T07:40:24-07:00,2023-08-27T07:40:24-07:00,,,
220,mem-ruby: Improve Ruby/CHI stats for in/out trans,其他,v23.1.0.0,4bd3d2f864aba6376578f237583031389a704ffa,2023-08-28,1274,1,0,0,0,0,2023-08-28T15:06:39-07:00,2023-08-28T15:06:39-07:00,,,
229,misc: Update CI tests to not run on draft PRs,测试,v23.1.0.0,9d2e860d744167ef1413241acdcc9fea945d887b,2023-08-28,1276,1,0,0,0,0,2023-08-28T15:19:49-07:00,2023-08-28T15:19:49-07:00,,,
218,mem-ruby: fix assert on CHI ReadUnique,修复/纠错,v23.1.0.0,737c611e72dfe6e24e61b3463d9e05f37a5e3b28,2023-08-28,1278,1,0,0,0,0,2023-08-28T16:06:09-07:00,2023-08-28T16:06:09-07:00,,,
219,mem-ruby: fix CHI sending the wrong snoop response,修复/纠错,v23.1.0.0,68a48a2dfa3f8772d2f65c6630a64e88130a5628,2023-08-28,1280,1,0,0,0,0,2023-08-28T16:21:25-07:00,2023-08-28T16:21:25-07:00,,,
211,util: Update & fix bug in m5stats2streamline.py,更新/依赖,v23.1.0.0,815d5b1cbaab5f548b42e7b106bafaca97a7174a,2023-08-29,1283,1,0,0,0,0,2023-08-29T11:05:51+02:00,2023-08-29T11:05:51+02:00,,,
204,"resources, stdlib: Add support for local files in obtain_resource",新增/支持,v23.1.0.0,c156df620de59b1379f2ac6e64ec25cfdd7d1a62,2023-08-29,1285,1,0,0,0,0,2023-08-29T20:35:40-07:00,2023-08-29T20:35:40-07:00,,,
236,util-docker: Add GitHub Action to create Docker Images,CI,v23.1.0.0,fceb7e05a3387fdeffc3f812eb4b24a581d81e0e,2023-08-30,1287,2,5,112,32,144,2023-08-30T12:15:33-07:00,2023-09-05T17:59:06-07:00,"util, .github","util, .github",
200,mem: Atomic ops to same address,其他,v23.1.0.0,0e323bc40953670430cc9185d1a51625ee4b43ee,2023-08-30,1289,1,0,0,0,0,2023-08-30T23:53:35-07:00,2023-08-30T23:53:35-07:00,,,
243,misc: Copy .github directory from develop to stable,CI,v23.1.0.0,48a40cf2f5182a82de360b7efa497d82e06b1631,2023-08-30,2005,1,0,0,0,0,2023-08-30T22:53:03-07:00,2023-08-30T22:53:03-07:00,,,
247,gpu-compute: Set LDS/scratch aperture base register,其他,v23.1.0.0,ddd1bc1e4882877bc6891125369ac2bec6d9e136,2023-08-31,1291,1,0,0,0,0,2023-08-31T17:38:08-07:00,2023-08-31T17:38:08-07:00,,,
